,relh,sknt,temp,day,month,year,time
0,92.97,10.0,0.0,1,1,2015,01:00:00
2,100.0,7.0,0.0,1,1,2015,02:00:00
4,100.0,7.0,0.0,1,1,2015,03:00:00
6,93.03,6.0,0.9999999999999984,1,1,2015,04:00:00
8,100.0,7.0,0.9999999999999984,1,1,2015,05:00:00
10,100.0,8.0,0.9999999999999984,1,1,2015,06:00:00
12,100.0,8.0,0.9999999999999984,1,1,2015,07:00:00
14,93.08,7.0,2.000000000000001,1,1,2015,08:00:00
16,100.0,10.0,2.000000000000001,1,1,2015,09:00:00
18,100.0,8.0,2.000000000000001,1,1,2015,10:00:00
20,100.0,9.0,2.000000000000001,1,1,2015,11:00:00
22,100.0,8.0,2.000000000000001,1,1,2015,12:00:00
24,100.0,10.0,2.000000000000001,1,1,2015,13:00:00
26,93.08,10.0,2.000000000000001,1,1,2015,14:00:00
28,86.59,7.0,2.000000000000001,1,1,2015,15:00:00
30,80.51,8.0,2.000000000000001,1,1,2015,16:00:00
32,86.49,8.0,0.9999999999999984,1,1,2015,17:00:00
34,86.49,11.0,0.9999999999999984,1,1,2015,18:00:00
36,92.97,8.0,0.0,1,1,2015,19:00:00
38,92.97,6.0,0.0,1,1,2015,20:00:00
40,92.97,7.0,0.0,1,1,2015,21:00:00
42,92.97,9.0,0.0,1,1,2015,22:00:00
44,92.97,6.0,0.0,1,1,2015,23:00:00
46,92.97,6.0,0.0,2,1,2015,00:00:00
48,92.97,9.0,0.0,2,1,2015,01:00:00
50,92.97,8.0,0.0,2,1,2015,02:00:00
52,86.49,8.0,0.9999999999999984,2,1,2015,03:00:00
54,86.49,9.0,0.9999999999999984,2,1,2015,04:00:00
56,93.03,9.0,0.9999999999999984,2,1,2015,05:00:00
58,93.03,9.0,0.9999999999999984,2,1,2015,06:00:00
60,86.59,10.0,2.000000000000001,2,1,2015,07:00:00
62,86.59,12.0,2.000000000000001,2,1,2015,08:00:00
64,80.65,12.0,2.9999999999999996,2,1,2015,09:00:00
66,75.16,15.0,4.000000000000002,2,1,2015,10:00:00
68,80.79,16.0,4.000000000000002,2,1,2015,11:00:00
70,86.79,16.0,4.000000000000002,2,1,2015,12:00:00
72,93.19,15.0,4.000000000000002,2,1,2015,13:00:00
74,93.19,15.0,4.000000000000002,2,1,2015,14:00:00
76,93.24,18.0,5.0,2,1,2015,15:00:00
78,86.89,17.0,5.0,2,1,2015,16:00:00
80,86.89,17.0,5.0,2,1,2015,17:00:00
82,80.93,18.0,5.0,2,1,2015,18:00:00
84,80.93,15.0,5.0,2,1,2015,19:00:00
86,80.79,14.0,4.000000000000002,2,1,2015,20:00:00
88,80.79,14.0,4.000000000000002,2,1,2015,21:00:00
90,80.79,17.0,4.000000000000002,2,1,2015,22:00:00
92,75.16,16.0,4.000000000000002,2,1,2015,23:00:00
