,temp,relh,skph,day,month,year,time,minutes
0,10.0,93.5,20.372,1,1,2022,00:00:00,0
1,10.0,93.5,22.224,1,1,2022,00:30:00,30
2,10.0,93.5,24.076,1,1,2022,01:00:00,0
3,10.0,93.5,24.076,1,1,2022,01:30:00,30
4,10.0,93.5,24.076,1,1,2022,02:00:00,0
5,10.0,93.5,25.928,1,1,2022,02:30:00,30
6,10.0,93.5,25.928,1,1,2022,03:00:00,0
7,10.0,93.5,24.076,1,1,2022,03:30:00,30
8,10.0,93.5,24.076,1,1,2022,04:00:00,0
9,10.0,93.5,14.816,1,1,2022,04:30:00,30
10,10.0,93.5,12.964,1,1,2022,05:00:00,0
11,10.0,93.5,20.372,1,1,2022,05:30:00,30
12,10.0,93.5,18.52,1,1,2022,06:00:00,0
13,10.0,93.5,16.668,1,1,2022,06:30:00,30
14,10.0,93.5,12.964,1,1,2022,07:00:00,0
15,10.0,93.5,14.816,1,1,2022,07:30:00,30
16,10.0,93.5,16.668,1,1,2022,08:00:00,0
17,10.0,93.5,14.816,1,1,2022,08:30:00,30
18,10.0,93.5,12.964,1,1,2022,09:00:00,0
19,10.0,93.5,18.52,1,1,2022,09:30:00,30
20,10.0,93.5,18.52,1,1,2022,10:00:00,0
21,10.0,93.5,24.076,1,1,2022,10:30:00,30
22,10.0,93.5,16.668,1,1,2022,11:00:00,0
23,10.0,93.5,20.372,1,1,2022,11:30:00,30
24,10.0,93.5,18.52,1,1,2022,12:00:00,0
25,10.0,93.5,20.372,1,1,2022,12:30:00,30
26,10.0,93.5,22.224,1,1,2022,13:00:00,0
27,10.0,93.5,22.224,1,1,2022,13:30:00,30
28,10.0,93.5,12.964,1,1,2022,14:00:00,0
29,10.0,87.37,14.816,1,1,2022,14:30:00,30
30,9.0,93.45,12.964,1,1,2022,15:00:00,0
31,8.0,93.4,9.26,1,1,2022,15:30:00,30
32,8.0,93.4,7.408,1,1,2022,16:00:00,0
33,8.0,93.4,5.556,1,1,2022,16:30:00,30
34,8.0,93.4,5.556,1,1,2022,17:00:00,0
35,8.0,93.4,5.556,1,1,2022,17:30:00,30
