,temp,relh,skph,day,month,year,time,minutes
0,6.0,100.0,16.668,1,1,2022,00:00:00,0
1,7.0,93.35,14.816,1,1,2022,00:30:00,30
2,7.0,100.0,14.816,1,1,2022,01:00:00,0
3,9.0,93.45,24.076,1,1,2022,01:30:00,30
4,9.0,100.0,22.224,1,1,2022,02:00:00,0
5,9.0,100.0,22.224,1,1,2022,02:30:00,30
6,10.0,93.5,25.928,1,1,2022,03:00:00,0
7,10.0,93.5,29.632,1,1,2022,03:30:00,30
8,10.0,93.5,27.78,1,1,2022,04:00:00,0
9,10.0,93.5,27.78,1,1,2022,04:30:00,30
10,10.0,93.5,27.78,1,1,2022,05:00:00,0
11,10.0,93.5,25.928,1,1,2022,05:30:00,30
12,10.0,93.5,24.076,1,1,2022,06:00:00,0
13,10.0,93.5,25.928,1,1,2022,06:30:00,30
14,10.0,93.5,24.076,1,1,2022,07:00:00,0
15,10.0,93.5,27.78,1,1,2022,07:30:00,30
16,10.0,93.5,25.928,1,1,2022,08:00:00,0
17,10.0,93.5,22.224,1,1,2022,08:30:00,30
18,10.0,93.5,22.224,1,1,2022,09:00:00,0
19,10.0,93.5,16.668,1,1,2022,09:30:00,30
20,11.0,87.47,18.52,1,1,2022,10:00:00,0
21,11.0,93.55,20.372,1,1,2022,10:30:00,30
22,11.0,93.55,24.076,1,1,2022,11:00:00,0
23,10.0,100.0,22.224,1,1,2022,11:30:00,30
24,10.0,93.5,20.372,1,1,2022,12:00:00,0
25,10.0,100.0,22.224,1,1,2022,12:30:00,30
26,10.0,93.5,22.224,1,1,2022,13:00:00,0
27,10.0,93.5,14.816,1,1,2022,13:30:00,30
28,10.0,93.5,22.224,1,1,2022,14:00:00,0
29,10.0,93.5,20.372,1,1,2022,14:30:00,30
30,10.0,93.5,18.52,1,1,2022,15:00:00,0
31,10.0,93.5,22.224,1,1,2022,15:30:00,30
32,10.0,93.5,14.816,1,1,2022,16:00:00,0
33,10.0,93.5,16.668,1,1,2022,16:30:00,30
34,10.0,93.5,12.964,1,1,2022,17:00:00,0
35,10.0,87.37,12.964,1,1,2022,17:30:00,30
36,9.0,93.45,14.816,1,1,2022,18:00:00,0
37,9.0,93.45,14.816,1,1,2022,18:30:00,30
38,8.0,87.19,20.372,1,1,2022,19:00:00,0
39,8.0,87.19,11.112,1,1,2022,19:30:00,30
40,7.0,87.09,14.816,1,1,2022,20:00:00,0
41,7.0,87.09,14.816,1,1,2022,20:30:00,30
42,7.0,87.09,11.112,1,1,2022,21:00:00,0
43,7.0,87.09,11.112,1,1,2022,21:30:00,30
44,7.0,81.2,12.964,1,1,2022,22:00:00,0
45,6.0,86.99,7.408,1,1,2022,22:30:00,30
46,6.0,86.99,9.26,1,1,2022,23:00:00,0
47,6.0,86.99,7.408,1,1,2022,23:30:00,30
48,6.0,86.99,7.408,2,1,2022,00:00:00,0
49,6.0,81.07,7.408,2,1,2022,00:30:00,30
50,6.0,81.07,3.704,2,1,2022,01:00:00,0
51,6.0,81.07,5.556,2,1,2022,01:30:00,30
52,5.0,93.24,3.704,2,1,2022,02:00:00,0
53,5.0,86.89,5.556,2,1,2022,02:30:00,30
54,5.0,93.24,5.556,2,1,2022,03:00:00,0
55,5.0,93.24,3.704,2,1,2022,03:30:00,30
56,5.0,93.24,7.408,2,1,2022,04:00:00,0
57,5.0,93.24,5.556,2,1,2022,04:30:00,30
58,5.0,93.24,3.704,2,1,2022,05:00:00,0
59,5.0,93.24,5.556,2,1,2022,05:30:00,30
60,5.0,93.24,5.556,2,1,2022,06:00:00,0
61,5.0,93.24,7.408,2,1,2022,06:30:00,30
62,5.0,100.0,3.704,2,1,2022,07:00:00,0
63,5.0,100.0,5.556,2,1,2022,07:30:00,30
64,6.0,93.3,7.408,2,1,2022,08:00:00,0
65,6.0,93.3,9.26,2,1,2022,08:30:00,30
66,7.0,93.35,12.964,2,1,2022,09:00:00,0
67,8.0,93.4,14.816,2,1,2022,09:30:00,30
68,9.0,81.47,24.076,2,1,2022,10:00:00,0
69,9.0,81.47,18.52,2,1,2022,10:30:00,30
70,9.0,81.47,18.52,2,1,2022,11:00:00,0
71,10.0,76.18,25.928,2,1,2022,11:30:00,30
72,10.0,76.18,22.224,2,1,2022,12:00:00,0
73,9.0,81.47,24.076,2,1,2022,12:30:00,30
74,9.0,76.01,18.52,2,1,2022,13:00:00,0
75,8.0,81.34,18.52,2,1,2022,13:30:00,30
76,8.0,81.34,18.52,2,1,2022,14:00:00,0
77,8.0,81.34,20.372,2,1,2022,14:30:00,30
78,8.0,81.34,24.076,2,1,2022,15:00:00,0
79,7.0,87.09,20.372,2,1,2022,15:30:00,30
80,7.0,87.09,22.224,2,1,2022,16:00:00,0
81,7.0,81.2,27.78,2,1,2022,16:30:00,30
82,7.0,81.2,27.78,2,1,2022,17:00:00,0
83,7.0,81.2,27.78,2,1,2022,17:30:00,30
84,7.0,81.2,22.224,2,1,2022,18:00:00,0
85,7.0,81.2,20.372,2,1,2022,18:30:00,30
86,7.0,81.2,18.52,2,1,2022,19:00:00,0
87,6.0,86.99,20.372,2,1,2022,19:30:00,30
88,7.0,81.2,22.224,2,1,2022,20:00:00,0
89,7.0,81.2,24.076,2,1,2022,20:30:00,30
90,7.0,81.2,27.78,2,1,2022,21:00:00,0
91,7.0,81.2,22.224,2,1,2022,21:30:00,30
92,7.0,81.2,24.076,2,1,2022,22:00:00,0
93,7.0,81.2,27.78,2,1,2022,22:30:00,30
94,6.0,86.99,22.224,2,1,2022,23:00:00,0
95,6.0,86.99,22.224,2,1,2022,23:30:00,30
96,7.0,81.2,20.372,3,1,2022,00:00:00,0
97,7.0,81.2,16.668,3,1,2022,00:30:00,30
98,7.0,81.2,16.668,3,1,2022,01:00:00,0
99,7.0,81.2,22.224,3,1,2022,01:30:00,30
100,7.0,81.2,16.668,3,1,2022,02:00:00,0
101,7.0,81.2,20.372,3,1,2022,02:30:00,30
102,7.0,81.2,18.52,3,1,2022,03:00:00,0
103,7.0,81.2,14.816,3,1,2022,03:30:00,30
104,7.0,81.2,16.668,3,1,2022,04:00:00,0
105,7.0,81.2,12.964,3,1,2022,04:30:00,30
106,7.0,81.2,12.964,3,1,2022,05:00:00,0
