,temp,relh,skph,day,month,year,time,minutes
0,10.0,100.0,18.52,1,1,2022,00:00:00,0
1,10.0,100.0,18.52,1,1,2022,00:30:00,30
2,10.0,100.0,14.816,1,1,2022,01:00:00,0
3,10.0,100.0,16.668,1,1,2022,01:30:00,30
4,10.0,100.0,16.668,1,1,2022,02:00:00,0
5,10.0,100.0,16.668,1,1,2022,02:30:00,30
6,10.0,100.0,16.668,1,1,2022,03:00:00,0
7,10.0,100.0,16.668,1,1,2022,03:30:00,30
8,10.0,100.0,18.52,1,1,2022,04:00:00,0
9,11.0,93.55,18.52,1,1,2022,04:30:00,30
10,11.0,93.55,20.372,1,1,2022,05:00:00,0
11,11.0,93.55,18.52,1,1,2022,05:30:00,30
12,10.0,100.0,18.52,1,1,2022,06:00:00,0
13,10.0,100.0,16.668,1,1,2022,06:30:00,30
14,10.0,100.0,18.52,1,1,2022,07:00:00,0
15,10.0,100.0,14.816,1,1,2022,07:30:00,30
16,10.0,100.0,16.668,1,1,2022,08:00:00,0
17,10.0,100.0,20.372,1,1,2022,08:30:00,30
18,10.0,100.0,24.076,1,1,2022,09:00:00,0
19,10.0,100.0,22.224,1,1,2022,09:30:00,30
20,10.0,100.0,22.224,1,1,2022,10:00:00,0
21,10.0,100.0,20.372,1,1,2022,10:30:00,30
22,10.0,100.0,22.224,1,1,2022,11:00:00,0
23,10.0,100.0,22.224,1,1,2022,11:30:00,30
24,10.0,100.0,18.52,1,1,2022,12:00:00,0
25,10.0,100.0,22.224,1,1,2022,12:30:00,30
26,10.0,100.0,16.668,1,1,2022,13:00:00,0
27,10.0,100.0,14.816,1,1,2022,13:30:00,30
28,10.0,100.0,14.816,1,1,2022,14:00:00,0
29,10.0,100.0,11.112,1,1,2022,14:30:00,30
30,10.0,100.0,7.408,1,1,2022,15:00:00,0
31,10.0,100.0,5.556,1,1,2022,15:30:00,30
32,10.0,100.0,3.704,1,1,2022,16:00:00,0
33,10.0,100.0,1.852,1,1,2022,16:30:00,30
34,10.0,100.0,3.704,1,1,2022,17:00:00,0
35,10.0,100.0,1.852,1,1,2022,17:30:00,30
36,10.0,100.0,5.556,1,1,2022,18:00:00,0
37,10.0,100.0,5.556,1,1,2022,18:30:00,30
38,10.0,100.0,3.704,1,1,2022,19:00:00,0
39,10.0,100.0,3.704,1,1,2022,19:30:00,30
40,10.0,100.0,5.556,1,1,2022,20:00:00,0
41,10.0,100.0,7.408,1,1,2022,20:30:00,30
42,10.0,100.0,9.26,1,1,2022,21:00:00,0
43,10.0,100.0,7.408,1,1,2022,21:30:00,30
44,10.0,100.0,7.408,1,1,2022,22:00:00,0
45,10.0,100.0,9.26,1,1,2022,22:30:00,30
46,10.0,100.0,11.112,1,1,2022,23:00:00,0
47,10.0,100.0,11.112,1,1,2022,23:30:00,30
48,10.0,100.0,9.26,2,1,2022,00:00:00,0
49,10.0,100.0,11.112,2,1,2022,00:30:00,30
50,10.0,100.0,14.816,2,1,2022,01:00:00,0
51,10.0,100.0,14.816,2,1,2022,01:30:00,30
52,10.0,100.0,16.668,2,1,2022,02:00:00,0
53,10.0,93.5,11.112,2,1,2022,02:30:00,30
54,9.0,100.0,12.964,2,1,2022,03:00:00,0
55,9.0,100.0,16.668,2,1,2022,03:30:00,30
56,9.0,93.45,12.964,2,1,2022,04:00:00,0
57,9.0,93.45,14.816,2,1,2022,04:30:00,30
58,9.0,93.45,7.408,2,1,2022,05:00:00,0
59,8.0,100.0,9.26,2,1,2022,05:30:00,30
60,8.0,100.0,9.26,2,1,2022,06:00:00,0
61,9.0,93.45,14.816,2,1,2022,06:30:00,30
62,9.0,93.45,14.816,2,1,2022,07:00:00,0
63,9.0,93.45,12.964,2,1,2022,07:30:00,30
64,8.0,100.0,11.112,2,1,2022,08:00:00,0
65,8.0,100.0,11.112,2,1,2022,08:30:00,30
66,9.0,93.45,12.964,2,1,2022,09:00:00,0
67,9.0,93.45,16.668,2,1,2022,09:30:00,30
68,9.0,93.45,14.816,2,1,2022,10:00:00,0
69,9.0,100.0,14.816,2,1,2022,10:30:00,30
70,10.0,93.5,12.964,2,1,2022,11:00:00,0
71,10.0,93.5,12.964,2,1,2022,11:30:00,30
72,11.0,93.55,11.112,2,1,2022,12:00:00,0
73,11.0,93.55,12.964,2,1,2022,12:30:00,30
74,10.0,100.0,11.112,2,1,2022,13:00:00,0
75,11.0,93.55,11.112,2,1,2022,13:30:00,30
76,11.0,93.55,11.112,2,1,2022,14:00:00,0
77,11.0,93.55,11.112,2,1,2022,14:30:00,30
78,11.0,93.55,12.964,2,1,2022,15:00:00,0
79,11.0,93.55,18.52,2,1,2022,15:30:00,30
