,temp,relh,skph,day,month,year,time,minutes
0,10.0,100.0,24.076,1,1,2022,00:00:00,0
1,10.0,100.0,18.52,1,1,2022,00:30:00,30
2,10.0,100.0,18.52,1,1,2022,01:00:00,0
3,10.0,100.0,22.224,1,1,2022,01:30:00,30
4,10.0,100.0,12.964,1,1,2022,02:00:00,0
5,10.0,100.0,16.668,1,1,2022,02:30:00,30
6,9.0,100.0,16.668,1,1,2022,03:00:00,0
7,9.0,100.0,16.668,1,1,2022,03:30:00,30
8,9.0,100.0,18.52,1,1,2022,04:00:00,0
9,9.0,93.45,14.816,1,1,2022,04:30:00,30
10,9.0,93.45,14.816,1,1,2022,05:00:00,0
11,9.0,87.28,16.668,1,1,2022,05:30:00,30
12,9.0,87.28,22.224,1,1,2022,06:00:00,0
13,8.0,93.4,20.372,1,1,2022,06:30:00,30
14,8.0,93.4,16.668,1,1,2022,07:00:00,0
15,8.0,93.4,22.224,1,1,2022,07:30:00,30
16,8.0,93.4,18.52,1,1,2022,08:00:00,0
17,8.0,93.4,14.816,1,1,2022,08:30:00,30
18,8.0,93.4,20.372,1,1,2022,09:00:00,0
19,9.0,93.45,22.224,1,1,2022,09:30:00,30
20,9.0,93.45,20.372,1,1,2022,10:00:00,0
21,9.0,93.45,20.372,1,1,2022,10:30:00,30
22,10.0,87.37,24.076,1,1,2022,11:00:00,0
23,10.0,87.37,25.928,1,1,2022,11:30:00,30
24,10.0,81.61,27.78,1,1,2022,12:00:00,0
25,9.0,87.28,29.632,1,1,2022,12:30:00,30
26,9.0,81.47,25.928,1,1,2022,13:00:00,0
27,9.0,76.01,27.78,1,1,2022,13:30:00,30
28,8.0,75.84,25.928,1,1,2022,14:00:00,0
29,8.0,75.84,22.224,1,1,2022,14:30:00,30
30,8.0,75.84,22.224,1,1,2022,15:00:00,0
31,8.0,81.34,20.372,1,1,2022,15:30:00,30
32,7.0,81.2,18.52,1,1,2022,16:00:00,0
33,7.0,81.2,18.52,1,1,2022,16:30:00,30
34,7.0,81.2,14.816,1,1,2022,17:00:00,0
35,6.0,81.07,18.52,1,1,2022,17:30:00,30
36,6.0,81.07,20.372,1,1,2022,18:00:00,0
37,6.0,75.5,16.668,1,1,2022,18:30:00,30
38,6.0,75.5,12.964,1,1,2022,19:00:00,0
39,5.0,80.93,11.112,1,1,2022,19:30:00,30
40,5.0,80.93,12.964,1,1,2022,20:00:00,0
41,5.0,80.93,11.112,1,1,2022,20:30:00,30
42,5.0,80.93,11.112,1,1,2022,21:00:00,0
43,5.0,75.33,7.408,1,1,2022,21:30:00,30
44,5.0,75.33,7.408,1,1,2022,22:00:00,0
45,5.0,75.33,5.556,1,1,2022,22:30:00,30
46,4.0,80.79,5.556,1,1,2022,23:00:00,0
47,4.0,80.79,7.408,1,1,2022,23:30:00,30
48,4.0,80.79,7.408,2,1,2022,00:00:00,0
49,4.0,80.79,7.408,2,1,2022,00:30:00,30
50,4.0,80.79,7.408,2,1,2022,01:00:00,0
51,4.0,86.79,5.556,2,1,2022,01:30:00,30
52,4.0,86.79,11.112,2,1,2022,02:00:00,0
53,4.0,93.19,9.26,2,1,2022,02:30:00,30
54,4.0,86.79,11.112,2,1,2022,03:00:00,0
55,4.0,93.19,9.26,2,1,2022,03:30:00,30
56,4.0,93.19,12.964,2,1,2022,04:00:00,0
57,4.0,93.19,14.816,2,1,2022,04:30:00,30
58,4.0,93.19,16.668,2,1,2022,05:00:00,0
59,4.0,93.19,16.668,2,1,2022,05:30:00,30
60,4.0,93.19,12.964,2,1,2022,06:00:00,0
61,4.0,100.0,14.816,2,1,2022,06:30:00,30
62,4.0,100.0,12.964,2,1,2022,07:00:00,0
63,4.0,100.0,12.964,2,1,2022,07:30:00,30
64,5.0,100.0,12.964,2,1,2022,08:00:00,0
65,5.0,100.0,11.112,2,1,2022,08:30:00,30
66,6.0,100.0,7.408,2,1,2022,09:00:00,0
67,6.0,100.0,11.112,2,1,2022,09:30:00,30
68,7.0,100.0,12.964,2,1,2022,10:00:00,0
69,7.0,100.0,12.964,2,1,2022,10:30:00,30
70,8.0,93.4,14.816,2,1,2022,11:00:00,0
71,8.0,93.4,12.964,2,1,2022,11:30:00,30
72,9.0,93.45,12.964,2,1,2022,12:00:00,0
73,9.0,87.28,11.112,2,1,2022,12:30:00,30
74,10.0,81.61,12.964,2,1,2022,13:00:00,0
75,10.0,81.61,12.964,2,1,2022,13:30:00,30
76,10.0,81.61,14.816,2,1,2022,14:00:00,0
77,10.0,81.61,16.668,2,1,2022,14:30:00,30
78,10.0,81.61,14.816,2,1,2022,15:00:00,0
79,10.0,81.61,14.816,2,1,2022,15:30:00,30
80,9.0,87.28,12.964,2,1,2022,16:00:00,0
81,9.0,87.28,14.816,2,1,2022,16:30:00,30
82,9.0,93.45,16.668,2,1,2022,17:00:00,0
83,9.0,93.45,14.816,2,1,2022,17:30:00,30
84,9.0,93.45,12.964,2,1,2022,18:00:00,0
85,9.0,100.0,12.964,2,1,2022,18:30:00,30
86,9.0,100.0,12.964,2,1,2022,19:00:00,0
87,9.0,93.45,12.964,2,1,2022,19:30:00,30
88,9.0,93.45,12.964,2,1,2022,20:00:00,0
89,9.0,93.45,11.112,2,1,2022,20:30:00,30
90,9.0,93.45,18.52,2,1,2022,21:00:00,0
