,temp,relh,skph,month,year,time
8353,-2.0,100.0,0.0,1,2012,00:00:00
8354,-2.0,100.0,0.0,1,2012,00:30:00
8355,-2.0,100.0,3.704,1,2012,01:00:00
8356,-2.0,100.0,0.0,1,2012,01:30:00
8357,-3.0,100.0,5.556,1,2012,02:00:00
8358,-2.0,100.0,7.408,1,2012,02:30:00
8359,-2.0,100.0,5.556,1,2012,03:00:00
8360,-2.0,100.0,5.556,1,2012,03:30:00
8361,-2.0,100.0,7.408,1,2012,04:00:00
8362,-2.0,100.0,7.408,1,2012,04:30:00
8363,-2.0,100.0,7.408,1,2012,05:00:00
8364,-3.0,100.0,7.408,1,2012,05:30:00
8365,-3.0,100.0,7.408,1,2012,06:00:00
8366,-3.0,100.0,7.408,1,2012,06:30:00
8367,-3.0,100.0,11.112,1,2012,07:00:00
8368,-3.0,100.0,7.408,1,2012,07:30:00
8369,-3.0,100.0,7.408,1,2012,08:00:00
8370,-2.0,100.0,9.26,1,2012,08:30:00
8371,-1.0,100.0,9.26,1,2012,09:00:00
8372,-1.0,100.0,9.26,1,2012,09:30:00
8373,0.0,100.0,12.964,1,2012,10:00:00
8374,0.0,100.0,9.26,1,2012,10:30:00
8375,0.0,100.0,9.26,1,2012,11:00:00
8376,1.0,93.03,11.112,1,2012,11:30:00
8377,1.0,93.03,12.964,1,2012,12:00:00
8378,2.0,86.59,9.26,1,2012,12:30:00
8379,2.0,93.08,12.964,1,2012,13:00:00
8380,2.0,93.08,11.112,1,2012,13:30:00
8381,2.0,93.08,9.26,1,2012,14:00:00
8382,2.0,93.08,9.26,1,2012,14:30:00
8383,2.0,93.08,11.112,1,2012,15:00:00
8384,2.0,93.08,12.964,1,2012,15:30:00
8385,3.0,86.69,11.112,1,2012,16:00:00
8386,3.0,93.14,12.964,1,2012,16:30:00
8387,3.0,93.14,14.816,1,2012,17:00:00
8388,3.0,93.14,12.964,1,2012,17:30:00
8389,3.0,100.0,12.964,1,2012,18:00:00
8390,3.0,100.0,12.964,1,2012,18:30:00
8391,3.0,100.0,11.112,1,2012,19:00:00
8392,4.0,93.19,11.112,1,2012,19:30:00
8393,4.0,100.0,12.964,1,2012,20:00:00
8394,4.0,100.0,11.112,1,2012,20:30:00
8395,4.0,100.0,12.964,1,2012,21:00:00
8396,5.0,100.0,16.668,1,2012,21:30:00
8397,5.0,100.0,11.112,1,2012,22:00:00
8398,5.0,100.0,12.964,1,2012,22:30:00
8399,5.0,100.0,11.112,1,2012,23:00:00
8400,5.0,100.0,12.964,1,2012,23:30:00
8401,6.0,100.0,12.964,1,2012,00:00:00
8402,6.0,100.0,12.964,1,2012,00:30:00
8403,6.0,100.0,12.964,1,2012,01:00:00
8404,6.0,100.0,12.964,1,2012,01:30:00
8405,6.0,100.0,14.816,1,2012,02:00:00
8406,6.0,100.0,12.964,1,2012,02:30:00
8407,6.0,100.0,9.26,1,2012,03:00:00
8408,6.0,100.0,14.816,1,2012,03:30:00
8409,6.0,100.0,14.816,1,2012,04:00:00
8410,6.0,100.0,14.816,1,2012,04:30:00
8411,6.0,93.3,16.668,1,2012,05:00:00
8412,6.0,93.3,16.668,1,2012,05:30:00
8413,6.0,93.3,12.964,1,2012,06:00:00
8414,6.0,93.3,16.668,1,2012,06:30:00
8415,5.0,100.0,12.964,1,2012,07:00:00
8416,5.0,100.0,12.964,1,2012,07:30:00
8417,6.0,93.3,18.52,1,2012,08:00:00
8418,6.0,93.3,16.668,1,2012,08:30:00
8419,6.0,93.3,14.816,1,2012,09:00:00
8420,7.0,93.35,16.668,1,2012,09:30:00
8421,8.0,87.19,18.52,1,2012,10:00:00
8422,8.0,87.19,18.52,1,2012,10:30:00
8423,9.0,87.28,14.816,1,2012,11:00:00
8424,9.0,87.28,16.668,1,2012,11:30:00
8425,9.0,87.28,18.52,1,2012,12:00:00
8426,9.0,87.28,14.816,1,2012,12:30:00
8427,9.0,87.28,12.964,1,2012,13:00:00
8428,9.0,87.28,14.816,1,2012,13:30:00
8429,9.0,81.47,14.816,1,2012,14:00:00
8430,8.0,87.19,16.668,1,2012,14:30:00
8431,8.0,87.19,16.668,1,2012,15:00:00
8432,8.0,87.19,14.816,1,2012,15:30:00
8433,8.0,87.19,12.964,1,2012,16:00:00
8434,8.0,87.19,12.964,1,2012,16:30:00
8435,8.0,81.34,14.816,1,2012,17:00:00
8436,7.0,87.09,12.964,1,2012,17:30:00
8437,7.0,81.2,18.52,1,2012,18:00:00
8438,7.0,81.2,16.668,1,2012,18:30:00
8439,7.0,81.2,16.668,1,2012,19:00:00
8440,7.0,81.2,14.816,1,2012,19:30:00
8441,7.0,81.2,14.816,1,2012,20:00:00
8442,7.0,81.2,18.52,1,2012,20:30:00
8443,7.0,81.2,20.372,1,2012,21:00:00
8444,7.0,81.2,27.78,1,2012,21:30:00
8445,7.0,87.09,24.076,1,2012,22:00:00
8446,7.0,87.09,22.224,1,2012,22:30:00
8447,7.0,93.35,20.372,1,2012,23:00:00
8448,6.0,100.0,20.372,1,2012,23:30:00
8449,6.0,100.0,12.964,1,2012,00:00:00
8450,6.0,100.0,12.964,1,2012,00:30:00
8451,7.0,100.0,12.964,1,2012,01:00:00
8452,7.0,93.35,14.816,1,2012,01:30:00
8453,6.0,100.0,16.668,1,2012,02:00:00
8454,6.0,93.3,9.26,1,2012,02:30:00
8455,6.0,100.0,14.816,1,2012,03:00:00
8456,6.0,100.0,12.964,1,2012,03:30:00
8457,6.0,93.3,18.52,1,2012,04:00:00
8458,6.0,93.3,14.816,1,2012,04:30:00
8459,6.0,93.3,14.816,1,2012,05:00:00
8460,6.0,93.3,12.964,1,2012,05:30:00
8461,6.0,93.3,22.224,1,2012,06:00:00
8462,5.0,93.24,20.372,1,2012,06:30:00
8463,5.0,93.24,18.52,1,2012,07:00:00
8464,5.0,93.24,16.668,1,2012,07:30:00
8465,5.0,93.24,18.52,1,2012,08:00:00
8466,5.0,93.24,12.964,1,2012,08:30:00
8467,5.0,93.24,18.52,1,2012,09:00:00
8468,5.0,93.24,20.372,1,2012,09:30:00
8469,6.0,81.07,24.076,1,2012,10:00:00
8470,6.0,70.28,24.076,1,2012,10:30:00
8471,6.0,75.5,22.224,1,2012,11:00:00
8472,6.0,75.5,20.372,1,2012,11:30:00
8473,6.0,75.5,24.076,1,2012,12:00:00
8474,7.0,70.48,24.076,1,2012,12:30:00
8475,6.0,75.5,24.076,1,2012,13:00:00
8476,6.0,75.5,18.52,1,2012,13:30:00
8477,6.0,75.5,16.668,1,2012,14:00:00
8478,5.0,80.93,12.964,1,2012,14:30:00
8479,5.0,80.93,12.964,1,2012,15:00:00
8480,5.0,80.93,14.816,1,2012,15:30:00
8481,5.0,80.93,14.816,1,2012,16:00:00
8482,5.0,80.93,18.52,1,2012,16:30:00
8483,5.0,80.93,20.372,1,2012,17:00:00
8484,5.0,80.93,27.78,1,2012,17:30:00
8485,5.0,80.93,29.632,1,2012,18:00:00
8486,5.0,75.33,25.928,1,2012,18:30:00
8487,5.0,80.93,31.484,1,2012,19:00:00
8488,6.0,75.5,37.04,1,2012,19:30:00
8489,6.0,75.5,33.336,1,2012,20:00:00
8490,6.0,70.28,27.78,1,2012,20:30:00
8491,6.0,70.28,27.78,1,2012,21:00:00
8492,6.0,70.28,29.632,1,2012,21:30:00
8493,7.0,65.61,35.188,1,2012,22:00:00
8494,7.0,65.61,33.336,1,2012,22:30:00
8495,7.0,65.61,29.632,1,2012,23:00:00
8496,7.0,65.61,25.928,1,2012,23:30:00
8497,7.0,65.61,35.188,1,2012,00:00:00
8498,7.0,70.48,27.78,1,2012,00:30:00
8499,6.0,81.07,31.484,1,2012,01:00:00
8500,7.0,75.68,35.188,1,2012,01:30:00
8501,7.0,75.68,29.632,1,2012,02:00:00
8502,7.0,75.68,31.484,1,2012,02:30:00
8503,7.0,75.68,33.336,1,2012,03:00:00
8504,7.0,75.68,33.336,1,2012,03:30:00
8505,7.0,75.68,31.484,1,2012,04:00:00
8506,7.0,75.68,25.928,1,2012,04:30:00
8507,7.0,75.68,25.928,1,2012,05:00:00
8508,7.0,75.68,24.076,1,2012,05:30:00
8509,7.0,75.68,29.632,1,2012,06:00:00
8510,6.0,86.99,25.928,1,2012,06:30:00
8511,6.0,81.07,22.224,1,2012,07:00:00
8512,6.0,81.07,11.112,1,2012,07:30:00
8513,6.0,81.07,11.112,1,2012,08:00:00
8514,6.0,86.99,14.816,1,2012,08:30:00
8515,6.0,86.99,12.964,1,2012,09:00:00
8516,7.0,81.2,18.52,1,2012,09:30:00
8517,7.0,75.68,18.52,1,2012,10:00:00
8518,7.0,81.2,14.816,1,2012,10:30:00
8519,7.0,75.68,14.816,1,2012,11:00:00
8520,7.0,70.48,22.224,1,2012,11:30:00
8521,7.0,65.61,27.78,1,2012,12:00:00
8522,7.0,61.03,24.076,1,2012,12:30:00
8523,7.0,61.03,24.076,1,2012,13:00:00
8524,6.0,65.38,20.372,1,2012,13:30:00
8525,6.0,65.38,25.928,1,2012,14:00:00
8526,6.0,65.38,25.928,1,2012,14:30:00
