,temp,relh,skph,day,month,year,time,minutes
0,6.0,93.3,29.632,1,1,2022,00:00:00,0
1,7.0,93.35,18.52,1,1,2022,00:30:00,30
2,7.0,93.35,18.52,1,1,2022,01:00:00,0
3,7.0,93.35,25.928,1,1,2022,01:30:00,30
4,7.0,93.35,24.076,1,1,2022,02:00:00,0
5,6.0,100.0,29.632,1,1,2022,02:30:00,30
6,6.0,93.3,31.484,1,1,2022,03:00:00,0
7,6.0,93.3,25.928,1,1,2022,03:30:00,30
8,6.0,93.3,27.78,1,1,2022,04:00:00,0
9,6.0,93.3,25.928,1,1,2022,04:30:00,30
10,6.0,93.3,27.78,1,1,2022,05:00:00,0
11,6.0,93.3,31.484,1,1,2022,05:30:00,30
12,6.0,93.3,29.632,1,1,2022,06:00:00,0
13,6.0,93.3,27.78,1,1,2022,06:30:00,30
14,6.0,93.3,27.78,1,1,2022,07:00:00,0
15,6.0,93.3,25.928,1,1,2022,07:30:00,30
16,6.0,93.3,25.928,1,1,2022,08:00:00,0
17,6.0,93.3,25.928,1,1,2022,08:30:00,30
18,6.0,86.99,27.78,1,1,2022,09:00:00,0
19,6.0,86.99,25.928,1,1,2022,09:30:00,30
20,6.0,86.99,27.78,1,1,2022,10:00:00,0
21,6.0,86.99,22.224,1,1,2022,10:30:00,30
22,6.0,86.99,24.076,1,1,2022,11:00:00,0
23,6.0,81.07,20.372,1,1,2022,11:30:00,30
24,6.0,86.99,14.816,1,1,2022,12:00:00,0
25,6.0,86.99,12.964,1,1,2022,12:30:00,30
26,5.0,86.89,14.816,1,1,2022,13:00:00,0
27,5.0,86.89,14.816,1,1,2022,13:30:00,30
28,5.0,80.93,14.816,1,1,2022,14:00:00,0
29,4.0,86.79,11.112,1,1,2022,14:30:00,30
30,4.0,86.79,16.668,1,1,2022,15:00:00,0
31,3.0,93.14,9.26,1,1,2022,15:30:00,30
32,3.0,93.14,9.26,1,1,2022,16:00:00,0
33,3.0,86.69,9.26,1,1,2022,16:30:00,30
34,3.0,86.69,9.26,1,1,2022,17:00:00,0
35,3.0,86.69,9.26,1,1,2022,17:30:00,30
36,3.0,80.65,7.408,1,1,2022,18:00:00,0
37,3.0,80.65,7.408,1,1,2022,18:30:00,30
38,3.0,86.69,9.26,1,1,2022,19:00:00,0
39,3.0,86.69,11.112,1,1,2022,19:30:00,30
40,3.0,86.69,9.26,1,1,2022,20:00:00,0
41,3.0,86.69,9.26,1,1,2022,20:30:00,30
42,3.0,86.69,7.408,1,1,2022,21:00:00,0
43,3.0,86.69,9.26,1,1,2022,21:30:00,30
44,3.0,86.69,11.112,1,1,2022,22:00:00,0
45,3.0,86.69,14.816,1,1,2022,22:30:00,30
46,3.0,86.69,14.816,1,1,2022,23:00:00,0
47,3.0,86.69,14.816,1,1,2022,23:30:00,30
48,3.0,93.14,16.668,2,1,2022,00:00:00,0
49,3.0,93.14,20.372,2,1,2022,00:30:00,30
50,3.0,93.14,18.52,2,1,2022,01:00:00,0
51,3.0,93.14,16.668,2,1,2022,01:30:00,30
52,3.0,100.0,12.964,2,1,2022,02:00:00,0
53,3.0,100.0,12.964,2,1,2022,02:30:00,30
54,4.0,93.19,16.668,2,1,2022,03:00:00,0
55,4.0,100.0,14.816,2,1,2022,03:30:00,30
56,5.0,100.0,12.964,2,1,2022,04:00:00,0
57,6.0,93.3,14.816,2,1,2022,04:30:00,30
58,6.0,100.0,12.964,2,1,2022,05:00:00,0
59,7.0,93.35,24.076,2,1,2022,05:30:00,30
60,7.0,93.35,18.52,2,1,2022,06:00:00,0
61,7.0,93.35,22.224,2,1,2022,06:30:00,30
62,8.0,93.4,22.224,2,1,2022,07:00:00,0
63,8.0,93.4,22.224,2,1,2022,07:30:00,30
64,8.0,93.4,24.076,2,1,2022,08:00:00,0
65,8.0,93.4,22.224,2,1,2022,08:30:00,30
66,8.0,93.4,20.372,2,1,2022,09:00:00,0
67,8.0,93.4,18.52,2,1,2022,09:30:00,30
68,8.0,93.4,18.52,2,1,2022,10:00:00,0
69,8.0,93.4,20.372,2,1,2022,10:30:00,30
70,8.0,93.4,20.372,2,1,2022,11:00:00,0
71,8.0,93.4,18.52,2,1,2022,11:30:00,30
72,8.0,93.4,14.816,2,1,2022,12:00:00,0
73,8.0,93.4,14.816,2,1,2022,12:30:00,30
74,8.0,93.4,22.224,2,1,2022,13:00:00,0
