,temp,relh,skph,day,month,year,time,minutes
0,10.0,87.37,24.076,1,1,2022,00:00:00,0
1,9.0,93.45,20.372,1,1,2022,00:30:00,30
2,9.0,93.45,18.52,1,1,2022,01:00:00,0
3,9.0,93.45,16.668,1,1,2022,01:30:00,30
4,10.0,87.37,20.372,1,1,2022,02:00:00,0
5,10.0,93.5,20.372,1,1,2022,02:30:00,30
6,10.0,93.5,20.372,1,1,2022,03:00:00,0
7,9.0,93.45,14.816,1,1,2022,03:30:00,30
8,10.0,93.5,22.224,1,1,2022,04:00:00,0
9,10.0,93.5,20.372,1,1,2022,04:30:00,30
10,9.0,100.0,16.668,1,1,2022,05:00:00,0
11,10.0,93.5,16.668,1,1,2022,05:30:00,30
12,10.0,93.5,22.224,1,1,2022,06:00:00,0
13,9.0,100.0,18.52,1,1,2022,06:30:00,30
14,9.0,100.0,16.668,1,1,2022,07:00:00,0
15,10.0,93.5,16.668,1,1,2022,07:30:00,30
16,10.0,93.5,22.224,1,1,2022,08:00:00,0
17,9.0,100.0,18.52,1,1,2022,08:30:00,30
18,10.0,93.5,14.816,1,1,2022,09:00:00,0
19,10.0,93.5,18.52,1,1,2022,09:30:00,30
20,10.0,93.5,22.224,1,1,2022,10:00:00,0
21,11.0,87.47,22.224,1,1,2022,10:30:00,30
22,10.0,93.5,22.224,1,1,2022,11:00:00,0
23,11.0,87.47,25.928,1,1,2022,11:30:00,30
24,11.0,87.47,25.928,1,1,2022,12:00:00,0
25,11.0,87.47,22.224,1,1,2022,12:30:00,30
26,11.0,87.47,22.224,1,1,2022,13:00:00,0
27,10.0,93.5,22.224,1,1,2022,13:30:00,30
28,10.0,93.5,18.52,1,1,2022,14:00:00,0
29,10.0,93.5,20.372,1,1,2022,14:30:00,30
30,10.0,93.5,18.52,1,1,2022,15:00:00,0
31,10.0,93.5,18.52,1,1,2022,15:30:00,30
32,10.0,93.5,20.372,1,1,2022,16:00:00,0
33,10.0,93.5,14.816,1,1,2022,16:30:00,30
34,10.0,93.5,16.668,1,1,2022,17:00:00,0
35,10.0,93.5,16.668,1,1,2022,17:30:00,30
36,10.0,87.37,16.668,1,1,2022,18:00:00,0
37,9.0,93.45,14.816,1,1,2022,18:30:00,30
38,9.0,93.45,14.816,1,1,2022,19:00:00,0
39,9.0,93.45,11.112,1,1,2022,19:30:00,30
40,9.0,93.45,9.26,1,1,2022,20:00:00,0
41,9.0,93.45,11.112,1,1,2022,20:30:00,30
42,9.0,93.45,12.964,1,1,2022,21:00:00,0
43,9.0,93.45,12.964,1,1,2022,21:30:00,30
44,9.0,93.45,11.112,1,1,2022,22:00:00,0
45,9.0,93.45,9.26,1,1,2022,22:30:00,30
46,9.0,93.45,9.26,1,1,2022,23:00:00,0
47,9.0,93.45,12.964,1,1,2022,23:30:00,30
48,9.0,93.45,11.112,2,1,2022,00:00:00,0
49,9.0,93.45,9.26,2,1,2022,00:30:00,30
50,8.0,100.0,9.26,2,1,2022,01:00:00,0
51,8.0,100.0,9.26,2,1,2022,01:30:00,30
52,8.0,100.0,7.408,2,1,2022,02:00:00,0
53,8.0,100.0,5.556,2,1,2022,02:30:00,30
54,8.0,100.0,7.408,2,1,2022,03:00:00,0
55,8.0,100.0,5.556,2,1,2022,03:30:00,30
56,8.0,100.0,3.704,2,1,2022,04:00:00,0
57,8.0,100.0,1.852,2,1,2022,04:30:00,30
58,8.0,100.0,5.556,2,1,2022,05:00:00,0
59,8.0,93.4,3.704,2,1,2022,05:30:00,30
60,8.0,100.0,1.852,2,1,2022,06:00:00,0
61,8.0,93.4,1.852,2,1,2022,06:30:00,30
62,7.0,93.35,3.704,2,1,2022,07:00:00,0
63,6.0,100.0,1.852,2,1,2022,07:30:00,30
64,6.0,100.0,3.704,2,1,2022,08:00:00,0
65,7.0,100.0,1.852,2,1,2022,08:30:00,30
66,8.0,93.4,1.852,2,1,2022,09:00:00,0
67,9.0,93.45,3.704,2,1,2022,09:30:00,30
68,9.0,87.28,3.704,2,1,2022,10:00:00,0
69,10.0,76.18,5.556,2,1,2022,10:30:00,30
70,10.0,81.61,7.408,2,1,2022,11:00:00,0
71,10.0,81.61,12.964,2,1,2022,11:30:00,30
72,10.0,81.61,12.964,2,1,2022,12:00:00,0
73,11.0,76.34,7.408,2,1,2022,12:30:00,30
74,11.0,76.34,12.964,2,1,2022,13:00:00,0
75,11.0,76.34,7.408,2,1,2022,13:30:00,30
76,11.0,76.34,9.26,2,1,2022,14:00:00,0
77,11.0,71.26,14.816,2,1,2022,14:30:00,30
78,10.0,76.18,9.26,2,1,2022,15:00:00,0
79,10.0,76.18,9.26,2,1,2022,15:30:00,30
80,9.0,81.47,5.556,2,1,2022,16:00:00,0
81,8.0,81.34,5.556,2,1,2022,16:30:00,30
82,9.0,76.01,5.556,2,1,2022,17:00:00,0
83,8.0,81.34,3.704,2,1,2022,17:30:00,30
84,7.0,87.09,5.556,2,1,2022,18:00:00,0
