station,valid,tmpc,relh,sknt
EPWA,2022-01-01 00:00,10.00,100.00,13.00
EPWA,2022-01-01 00:30,10.00,100.00,10.00
EPWA,2022-01-01 01:00,10.00,100.00,10.00
EPWA,2022-01-01 01:30,10.00,100.00,12.00
EPWA,2022-01-01 02:00,10.00,100.00,7.00
EPWA,2022-01-01 02:30,10.00,100.00,9.00
EPWA,2022-01-01 03:00,9.00,100.00,9.00
EPWA,2022-01-01 03:30,9.00,100.00,9.00
EPWA,2022-01-01 04:00,9.00,100.00,10.00
EPWA,2022-01-01 04:30,9.00,93.45,8.00
EPWA,2022-01-01 05:00,9.00,93.45,8.00
EPWA,2022-01-01 05:30,9.00,87.28,9.00
EPWA,2022-01-01 06:00,9.00,87.28,12.00
EPWA,2022-01-01 06:30,8.00,93.40,11.00
EPWA,2022-01-01 07:00,8.00,93.40,9.00
EPWA,2022-01-01 07:30,8.00,93.40,12.00
EPWA,2022-01-01 08:00,8.00,93.40,10.00
EPWA,2022-01-01 08:30,8.00,93.40,8.00
EPWA,2022-01-01 09:00,8.00,93.40,11.00
EPWA,2022-01-01 09:30,9.00,93.45,12.00
EPWA,2022-01-01 10:00,9.00,93.45,11.00
EPWA,2022-01-01 10:30,9.00,93.45,11.00
EPWA,2022-01-01 11:00,10.00,87.37,13.00
EPWA,2022-01-01 11:30,10.00,87.37,14.00
EPWA,2022-01-01 12:00,10.00,81.61,15.00
EPWA,2022-01-01 12:30,9.00,87.28,16.00
EPWA,2022-01-01 13:00,9.00,81.47,14.00
EPWA,2022-01-01 13:30,9.00,76.01,15.00
EPWA,2022-01-01 14:00,8.00,75.84,14.00
EPWA,2022-01-01 14:30,8.00,75.84,12.00
EPWA,2022-01-01 15:00,8.00,75.84,12.00
EPWA,2022-01-01 15:30,8.00,81.34,11.00
EPWA,2022-01-01 16:00,7.00,81.20,10.00
EPWA,2022-01-01 16:30,7.00,81.20,10.00
EPWA,2022-01-01 17:00,7.00,81.20,8.00
EPWA,2022-01-01 17:30,6.00,81.07,10.00
EPWA,2022-01-01 18:00,6.00,81.07,11.00
EPWA,2022-01-01 18:30,6.00,75.50,9.00
EPWA,2022-01-01 19:00,6.00,75.50,7.00
EPWA,2022-01-01 19:30,5.00,80.93,6.00
EPWA,2022-01-01 20:00,5.00,80.93,7.00
EPWA,2022-01-01 20:30,5.00,80.93,6.00
EPWA,2022-01-01 21:00,5.00,80.93,6.00
EPWA,2022-01-01 21:30,5.00,75.33,4.00
EPWA,2022-01-01 22:00,5.00,75.33,4.00
EPWA,2022-01-01 22:30,5.00,75.33,3.00
EPWA,2022-01-01 23:00,4.00,80.79,3.00
EPWA,2022-01-01 23:30,4.00,80.79,4.00
EPWA,2022-01-02 00:00,4.00,80.79,4.00
EPWA,2022-01-02 00:30,4.00,80.79,4.00
EPWA,2022-01-02 01:00,4.00,80.79,4.00
EPWA,2022-01-02 01:30,4.00,86.79,3.00
EPWA,2022-01-02 02:00,4.00,86.79,6.00
EPWA,2022-01-02 02:30,4.00,93.19,5.00
EPWA,2022-01-02 03:00,4.00,86.79,6.00
EPWA,2022-01-02 03:30,4.00,93.19,5.00
EPWA,2022-01-02 04:00,4.00,93.19,7.00
EPWA,2022-01-02 04:30,4.00,93.19,8.00
EPWA,2022-01-02 05:00,4.00,93.19,9.00
EPWA,2022-01-02 05:30,4.00,93.19,9.00
EPWA,2022-01-02 06:00,4.00,93.19,7.00
EPWA,2022-01-02 06:30,4.00,100.00,8.00
EPWA,2022-01-02 07:00,4.00,100.00,7.00
EPWA,2022-01-02 07:30,4.00,100.00,7.00
EPWA,2022-01-02 08:00,5.00,100.00,7.00
EPWA,2022-01-02 08:30,5.00,100.00,6.00
EPWA,2022-01-02 09:00,6.00,100.00,4.00
EPWA,2022-01-02 09:30,6.00,100.00,6.00
EPWA,2022-01-02 10:00,7.00,100.00,7.00
EPWA,2022-01-02 10:30,7.00,100.00,7.00
EPWA,2022-01-02 11:00,8.00,93.40,8.00
EPWA,2022-01-02 11:30,8.00,93.40,7.00
EPWA,2022-01-02 12:00,9.00,93.45,7.00
EPWA,2022-01-02 12:30,9.00,87.28,6.00
EPWA,2022-01-02 13:00,10.00,81.61,7.00
EPWA,2022-01-02 13:30,10.00,81.61,7.00
EPWA,2022-01-02 14:00,10.00,81.61,8.00
EPWA,2022-01-02 14:30,10.00,81.61,9.00
EPWA,2022-01-02 15:00,10.00,81.61,8.00
EPWA,2022-01-02 15:30,10.00,81.61,8.00
EPWA,2022-01-02 16:00,9.00,87.28,7.00
EPWA,2022-01-02 16:30,9.00,87.28,8.00
EPWA,2022-01-02 17:00,9.00,93.45,9.00
EPWA,2022-01-02 17:30,9.00,93.45,8.00
EPWA,2022-01-02 18:00,9.00,93.45,7.00
EPWA,2022-01-02 18:30,9.00,100.00,7.00
EPWA,2022-01-02 19:00,9.00,100.00,7.00
EPWA,2022-01-02 19:30,9.00,93.45,7.00
EPWA,2022-01-02 20:00,9.00,93.45,7.00
EPWA,2022-01-02 20:30,9.00,93.45,6.00
EPWA,2022-01-02 21:00,9.00,93.45,10.00
EPWA,2022-01-02 21:30,10.00,81.61,12.00
EPWA,2022-01-02 22:00,9.00,87.28,11.00
EPWA,2022-01-02 22:30,10.00,81.61,14.00
EPWA,2022-01-02 23:00,10.00,81.61,17.00
EPWA,2022-01-02 23:30,10.00,81.61,20.00
EPWA,2022-01-03 00:00,11.00,76.34,22.00
EPWA,2022-01-03 00:30,10.00,76.18,20.00
EPWA,2022-01-03 01:00,10.00,76.18,22.00
EPWA,2022-01-03 01:30,10.00,76.18,20.00
EPWA,2022-01-03 02:00,10.00,76.18,21.00
EPWA,2022-01-03 02:30,10.00,76.18,20.00
EPWA,2022-01-03 03:00,9.00,81.47,22.00
EPWA,2022-01-03 03:30,9.00,81.47,20.00
EPWA,2022-01-03 04:00,9.00,76.01,19.00
EPWA,2022-01-03 04:30,8.00,81.34,18.00
EPWA,2022-01-03 05:00,8.00,87.19,18.00
EPWA,2022-01-03 05:30,8.00,87.19,16.00
EPWA,2022-01-03 06:00,8.00,81.34,16.00
EPWA,2022-01-03 06:30,8.00,81.34,13.00
EPWA,2022-01-03 07:00,8.00,81.34,11.00
EPWA,2022-01-03 07:30,8.00,87.19,9.00
EPWA,2022-01-03 08:00,8.00,87.19,11.00
EPWA,2022-01-03 08:30,8.00,87.19,12.00
EPWA,2022-01-03 09:00,8.00,87.19,11.00
EPWA,2022-01-03 09:30,8.00,93.40,11.00
EPWA,2022-01-03 10:00,7.00,100.00,12.00
EPWA,2022-01-03 10:30,7.00,93.35,11.00
EPWA,2022-01-03 11:00,7.00,93.35,11.00
EPWA,2022-01-03 11:30,7.00,93.35,7.00
EPWA,2022-01-03 12:00,7.00,100.00,7.00
