,temp,relh,skph,day,month,year,time,minutes
152503,4.0,55.95,3.704,2,4,2020,18:00:00,0
152504,4.0,60.29,1.852,2,4,2020,18:30:00,30
152505,3.0,64.7,1.852,2,4,2020,19:00:00,0
152506,2.0,69.46,7.408,2,4,2020,19:30:00,30
152507,2.0,69.46,3.704,2,4,2020,20:00:00,0
152508,1.0,74.63,1.852,2,4,2020,21:00:00,0
152509,0.0,74.44,3.704,2,4,2020,22:30:00,30
152510,2.0,59.79,14.816,3,4,2020,02:30:00,30
152511,3.0,55.68,14.816,3,4,2020,03:00:00,0
152512,2.0,59.79,14.816,3,4,2020,03:30:00,30
152513,2.0,64.46,14.816,3,4,2020,04:00:00,0
152514,2.0,64.46,14.816,3,4,2020,04:30:00,30
152515,3.0,60.04,20.372,3,4,2020,05:00:00,0
152516,3.0,64.7,24.076,3,4,2020,05:30:00,30
152517,4.0,64.93,24.076,3,4,2020,06:00:00,0
152518,4.0,64.93,27.78,3,4,2020,06:30:00,30
152519,4.0,69.88,25.928,3,4,2020,07:00:00,0
152520,5.0,65.16,22.224,3,4,2020,07:30:00,30
152521,6.0,65.38,24.076,3,4,2020,08:00:00,0
152522,6.0,60.79,27.78,3,4,2020,08:30:00,30
152523,7.0,61.03,33.336,3,4,2020,09:00:00,0
152524,7.0,56.74,31.484,3,4,2020,09:30:00,30
152525,7.0,56.74,29.632,3,4,2020,10:00:00,0
152526,7.0,61.03,29.632,3,4,2020,10:30:00,30
152527,8.0,53.0,31.484,3,4,2020,11:00:00,0
152528,9.0,46.02,38.892,3,4,2020,11:30:00,30
152529,10.0,39.95,35.188,3,4,2020,12:00:00,0
152530,10.0,31.87,38.892,3,4,2020,12:30:00,30
152531,9.0,34.09,22.224,3,4,2020,13:00:00,0
152532,10.0,31.87,29.632,3,4,2020,13:30:00,30
152533,10.0,31.87,25.928,3,4,2020,14:00:00,0
152534,9.0,34.09,25.928,3,4,2020,14:30:00,30
152535,9.0,31.57,29.632,3,4,2020,15:00:00,0
152536,10.0,29.52,20.372,3,4,2020,15:30:00,30
152537,9.0,31.57,27.78,3,4,2020,16:00:00,0
152538,9.0,31.57,25.928,3,4,2020,16:30:00,30
152539,8.0,33.79,20.372,3,4,2020,17:00:00,0
152540,7.0,39.06,12.964,3,4,2020,17:30:00,30
152541,6.0,41.84,7.408,3,4,2020,18:00:00,0
152542,4.0,48.1,5.556,3,4,2020,18:30:00,30
152543,3.0,51.61,3.704,3,4,2020,19:00:00,0
152544,2.0,55.41,1.852,3,4,2020,19:30:00,30
152545,1.0,59.53,1.852,3,4,2020,20:00:00,0
152546,0.0,59.27,1.852,3,4,2020,20:30:00,30
152547,1.0,64.23,1.852,3,4,2020,21:00:00,0
152548,1.0,64.23,1.852,3,4,2020,21:30:00,30
